Investor Name,Announced Date
&vest,2019-01-02
2019-01-02,Gaja Capital
Fusun Doruk,2019-01-02
2019-01-02,John Fontein
2019-01-02,500 Startups
GGV Capital,2019-01-02
2019-01-02,Hyperplane Venture Capital
Kirill Bensonoff,2019-01-02
2019-01-02,Village Global
2019-01-02,Techstars
Techstars Berlin Accelerator,2019-01-02
2019-01-02,ENERGIIQ
Next Orbit Ventures Fund-I,2019-01-02
2019-01-02,FreshTracks Capital
2019-01-02,Firstrock Capital
2019-01-02,New Age Capital
Nex Cubed,2019-01-02
SDIC Fund Management,2019-01-02
inQbation Labs,2019-01-02
Sinh Nguyen,2019-01-02
Baidu Ventures,2019-01-02
Cathay Capital,2019-01-02
2019-01-02,Lenovo Capital and Incubator Group (LCIG)
2019-01-02,Shunwei Capital
THG Ventures,2019-01-02
2019-01-02,TusStar
Chainfund Capital,2019-01-02
2019-01-02,REV Asia Berhad
ARIA Fund,2019-01-02
ARCH Venture Partners,2019-01-02
Lilly Asia Ventures,2019-01-02
2019-01-02,Sequoia Capital China
Taikang Life Insurance,2019-01-02
2019-01-02,Temasek Holdings
Teng Yue Partners,2019-01-02
2019-01-02,Alfabeat
Harlem Capital Partners,2019-01-02
2019-01-02,River SaaS Capital
2019-01-02,Qatar Airways
2019-01-02,Clean Energy Ventures (CEV)
2019-01-02,David Brewster
Yijin Capital,2019-01-02
John Burd,2019-01-02
2019-01-02,36Kr
2019-01-02,Liangcang Accelerator
2019-01-02,FedDev
2019-01-02,Mike Novogratz
FMO,2019-01-02
FutureCap,2019-01-02
2019-01-02,CyberAgent Capital
2019-01-02,Y1 Ventures
2019-01-02,Greg Griffiths
National Science Foundation,2019-01-02
Capital Today,2019-01-02
Gaorong Capital,2019-01-02
2019-01-02,Sequoia Capital China
2019-01-02,Source Code Capital
2019-01-02,Suning.com
Boyu Capital,2019-01-02
2019-01-02,Celgene
2019-01-02,FountainVest Partners
2019-01-02,Qiming Venture Partners
Taikang Life Insurance,2019-01-02
2019-01-02,TF Capital
WuXi Healthcare Ventures,2019-01-02
Aqua Ventures,2019-01-02
2019-01-02,Building Ventures
2019-01-02,Camber Creek
2019-01-02,Concrete Venture Capital
Constellation Technology Ventures,2019-01-02
2019-01-02,DivcoWest
Exelon Corporation,2019-01-02
2019-01-02,Impact Engine
2019-01-02,S&P Global
2019-01-02,Salesforce Ventures
Sway Ventures,2019-01-02
2019-01-02,CDG Capital Private Equity
Gaorong Capital,2019-01-02
Shulan Health,2019-01-02
2019-01-02,Tangzhu Capital
2019-01-02,True Wealth Ventures
BuildingLink.com,2019-01-02
B&Y Venture Partners,2019-01-02
2019-01-02,Kafalat iSME
2019-01-02,Middle East Venture Partners (MEVP)
2019-01-02,Douglas Von Allmen
Michael Caron,2019-01-02
2019-01-02,Pat Parenty
SenseTime,2019-01-02
2019-01-02,Yangtze Delta Region Institute of Tsinghua University
Zhejiang,2019-01-02
2019-01-02,Cisco
2019-01-02,Iris Capital
2019-01-02,Liberty Global
IDG Capital,2019-01-02
2019-01-02,gumi
2019-01-02,Investissement Quebec
Dyee Capital,2019-01-02
Fanchuang Capital,2019-01-02
2019-01-02,JD Digits
2019-01-02,DeepWork Capital
2019-01-02,Naples Technology Ventures
New World Angels,2019-01-02
2019-01-02,Tamiami Angel Funds
Tsing-Yuan Capital,2019-01-02
2019-01-02,Clashrock Capital
2019-01-02,Las Olas Venture Capital (LOVC)
2019-01-02,Secocha Ventures
2019-01-02,StartUp Health
2019-04-12,WOWOW
2019-04-12,Noritsu Precision
2019-04-12,The Kiyo Bank
"Yamaha Motor Co.,",2019-04-12
2019-04-12,JA Mitsui Leasing
Koki Holdings,2019-04-12
Japan Finance Corporation,2019-04-12
2019-04-12,Resona Bank
Clocktower Technology Ventures,2019-04-12
Green Visor Capital,2019-04-12
2019-04-12,Ulu Ventures
Bpifrance,2019-04-12
Ciclad,2019-04-12
2019-04-12,PME Investimentos
2019-04-12,Seventure Partners
2019-04-12,GB-VI Growth Fund Investment Limited Partnership
2019-04-12,Global Brain Corporation
2019-04-12,KDDI Open Innovation Fund
SBI Group,2019-04-12
SBI Investment,2019-04-12
Yiping Xia,2019-04-12
Toppan Printing,2019-04-12
2019-04-12,DigitalCPR
2019-04-12,K4 Ventures
2019-04-12,BDMI
2019-04-12,BRIIA
2019-04-12,Sacramento Angels
2019-04-12,Crowdcube
2019-04-12,John Kobs
GPS Ventures GmbH,2019-04-12
2019-04-12,Innovationsstarter Fonds
Trucks Venture Capital,2019-04-12
2019-04-12,Cascade Seed Fund
2019-04-12,500 Startups
2019-04-12,Riyad TAQNIA Fund (RTF)
SURE international Technology,2019-04-12
Vision Ventures,2019-04-12
2019-04-12,CD Capital
CDH Investments,2019-04-12
IDG Capital,2019-04-12
2019-04-12,Betatron
Buhuo Ventures,2019-04-12
2019-04-12,Jayo Media
2019-04-12,Azimuth Ventures
2019-04-12,China Merchants Capital
2019-04-12,Delta Capital
2019-04-12,Fenghe Capital
2019-04-12,Legend Capital
2019-04-12,Northern Light Venture Capital
SAIC Motor,2019-04-12
SK China,2019-04-12
2019-04-12,Hengying Capital
2019-04-12,QF Capital
ZSY Capital,2019-04-12
Wellstreet,2019-04-12
Bow Capital,2019-04-12
2019-04-12,Fabio Mondini de Focatiis
2019-04-12,Giovanni Gardelli
2019-04-12,Pi Campus
LG Technology Ventures,2019-04-12
LG Technology Ventures,2019-04-12
Hercules Capital,2019-04-12
2019-04-12,Inc.
2019-04-12,Idinvest Partners
2019-04-12,Eastern Bell Capital
2019-04-12,3one4 Capital
Chiratae Ventures,2019-04-12
Hornbill Capital Advisers,2019-04-12
2019-04-12,Lasmer NV
Orchid India,2019-04-12
Kuok Ventures,2019-04-12
2019-04-12,MasterCard
2019-04-12,SGInnovate
2019-04-12,Henrik Kraft
Jens Reidel,2019-04-12
Thomas Ebeling,2019-04-12
Hiventures Investment Fund,2019-04-12
Handing Asset,2019-04-12
2019-04-12,Maoxin Investment Management
Binance Labs,2019-04-12
MGG Capital,2019-04-12
Animoca Brands,2019-04-12
2019-04-12,Indiana University Philanthropic Venture Fund
Binance Labs,2019-04-12
Inbox Capital,2019-04-12
2019-04-12,FinLab
2019-04-12,Vistara Capital Partners
Kamet,2019-04-12
Genesis Park,2019-04-12
