Transaction Name,Transaction Name URL,Announced Date,Investor Names
Series A - Berxel,https://www.crunchbase.com/funding_round/berxel-series-a--1a711a59,2019-01-01,"Leaguer Venture Capital, Legend Holdings, Legend Star, Qingsong Fund, Summitview Capital, TusStar, Vision Knight Capital"
Series A - Interos,https://www.crunchbase.com/funding_round/interos-series-a--bd1957f9,2019-01-01,Kleiner Perkins
Pre Seed Round - Happs,https://www.crunchbase.com/funding_round/happs-pre-seed--7514cf64,2019-01-01,"Andrew Lee, Corazon Capital, Phil Schwarz, Rob Hayes, Sam Yagan, Steve Farsht"
Seed Round - Freshworld,https://www.crunchbase.com/funding_round/freshworld-seed--149c00cc,2019-01-01,Indian Angel Network
Angel Round - Kard,https://www.crunchbase.com/funding_round/kard-67ed-angel--201b2296,2019-01-01,"David Amsellem, Francis Nappez, Jambu Palaniappan, Julien Lemoine, Kima Ventures"
Series C - Taifang Technology,https://www.crunchbase.com/funding_round/taifang-technology-series-c--3eeafcd5,2019-01-01,"Capitech, Everest Venture Capital, Green Pine Capital Partners, HaiKe Zhineng"
Grant - Vekta Innovations,https://www.crunchbase.com/funding_round/vekta-innovations-grant--3c8a2ad8,2019-01-01,Technology Innovation Agency
Grant - Smartroot,https://www.crunchbase.com/funding_round/smartroots-grant--d0f0ad4f,2019-01-01,Technology Innovation Agency
Series A - Oceania Financial Capital,https://www.crunchbase.com/funding_round/oceania-financial-capital-series-a--ae99261c,2019-01-01,"Blackbird Ventures, DFJ Element, FBG Capital"
Venture Round - Occlufit,https://www.crunchbase.com/funding_round/occlufit-series-unknown--bd8f4c28,2019-01-01,"Novartis Venture Fund, UZH Life Sciences Fund"
Pre Seed Round - JAUNTIN',https://www.crunchbase.com/funding_round/jauntin-pre-seed--f73e8e3d,2019-01-01,"Aly Madhavji, Blockchain Founders Fund, Loyal VC"
Pre Seed Round - TEOOH,https://www.crunchbase.com/funding_round/teooh-pre-seed--f2b2265f,2019-01-01,"Betaworks Ventures, General Catalyst, Keeler Investments Group, Kima Ventures, Larry Braitman, Loup Ventures, UpHonest Capital"
Series B - LandSpace,https://www.crunchbase.com/funding_round/landspace-40f5-series-b--f52e7a80,2019-01-01,"Lucion, Shanghai YISHENG Investment Management"
Series A - MAD Gaze,https://www.crunchbase.com/funding_round/mad-gaze-series-a--70988696,2019-01-01,
Venture Round - Triple W Japan,https://www.crunchbase.com/funding_round/triple-w-japan-k-k-series-unknown--6de31776,2019-01-01,"JMTC Capital, Sumitomo Mitsui Banking Corporation"
Seed Round - Fun With Balls,https://www.crunchbase.com/funding_round/fun-with-balls-seed--be13d345,2019-01-01,HYPE - Sports Innovation
Seed Round - Monarch Wallet,https://www.crunchbase.com/funding_round/monarch-wallet-seed--24a48d77,2019-01-01,"Blockchain Founders Fund, Roger Ver"
Seed Round - Equio,https://www.crunchbase.com/funding_round/equio-seed--1e102c7c,2019-01-01,OKS Group
Angel Round - Briskly,https://www.crunchbase.com/funding_round/briskly-angel--ae2902cb,2019-01-01,Maxim Poletaev
Pre Seed Round - Peiky,https://www.crunchbase.com/funding_round/peiky-pre-seed--9c7208f1,2019-01-01,"Condor, Wayra"
Seed Round - Promile.me,https://www.crunchbase.com/funding_round/promile-me-seed--a15b8bc8,2019-01-01,"Elena Gertsberg, Finacom Venture Capital, Hadi Labaki, Kirill Starodubov, Olga Budnik"
Venture Round - Waterdrop,https://www.crunchbase.com/funding_round/waterdrop-series-unknown--26889efd,2019-01-01,Bitburger Ventures
Series E - Farmers Business Network,https://www.crunchbase.com/funding_round/farmers-business-network-series-e--1d113d3d,2019-01-01,Kleiner Perkins
Convertible Note - ProHabits,https://www.crunchbase.com/funding_round/prohabits-convertible-note--3edd7bc0,2019-01-01,"Motivate Venture Capital, William Banks"
Venture Round - Appsfly.io,https://www.crunchbase.com/funding_round/appsteam-series-unknown--b13d132a,2019-01-01,"Touchstone Equities, Xseed Partners"
Pre Seed Round - Yada,https://www.crunchbase.com/funding_round/yada-71d9-pre-seed--a997f117,2019-01-01,"GE32 Capital, Valia Ventures"
Venture Round - soujhe,https://www.crunchbase.com/funding_round/soujhe-series-unknown--1ae98fde,2019-01-01,"CIE at IIIT, Derbi Foundation"
Venture Round - Hyrelabs,https://www.crunchbase.com/funding_round/hyrelabs-series-unknown--183db390,2019-01-01,"CIE at IIIT, Xseed Partners"
Seed Round - Chalo,https://www.crunchbase.com/funding_round/chalo-8f9c-seed--c15c0687,2019-01-01,"AdvantEdge Founders, Trifecta Capital Advisors, WaterBridge Ventures"
Seed Round - Weikele,https://www.crunchbase.com/funding_round/weikele-seed--a36aa957,2019-01-01,"Blue Power Capital, Longluck Investment"
Seed Round - Umeleon,https://www.crunchbase.com/funding_round/umeleon-seed--61fa94f9,2019-01-01,"Stanley+Techstars Additive Manufacturing Accelerator, Techstars, VentureVilla Accelerator"
Series B - Vir Biotechnology,https://www.crunchbase.com/funding_round/vir-biotechnology-series-b--6c28e39d,2019-01-01,"Alta Partners, ARCH Venture Partners, SoftBank Vision Fund"
Non Equity Assistance - Navariti Innovation,https://www.crunchbase.com/funding_round/navariti-innovation-non-equity-assistance--9bff7e37,2019-01-01,SR Innovation Exchange
Non Equity Assistance - Orgolite Agro,https://www.crunchbase.com/funding_round/orgolite-agro-non-equity-assistance--71effe26,2019-01-01,NutriHub
Non Equity Assistance - M-For Millet,https://www.crunchbase.com/funding_round/m-for-millet-non-equity-assistance--cb8552e1,2019-01-01,NutriHub
Non Equity Assistance - Boinpallys Agro Food Products,https://www.crunchbase.com/funding_round/boinpallys-agro-food-products-non-equity-assistance--ac446d86,2019-01-01,NutriHub
Non Equity Assistance - Photom Technologies,https://www.crunchbase.com/funding_round/photom-technologies-non-equity-assistance--134b160a,2019-01-01,International Centre for Entrepreneurship and Technology
Non Equity Assistance - Alluvium,https://www.crunchbase.com/funding_round/alluvium-in-non-equity-assistance--0bc14b03,2019-01-01,International Centre for Entrepreneurship and Technology
Funding Round - Grovvth Digital Ventures,https://www.crunchbase.com/funding_round/grovvth-digital-ventures-undisclosed--ddd136ec,2019-01-01,Jazeer Jamal
Non Equity Assistance - RACEnergy,https://www.crunchbase.com/funding_round/racenergy-non-equity-assistance--91c693dc,2019-01-01,SR Innovation Exchange
Pre Seed Round - Wellcare,https://www.crunchbase.com/funding_round/mhealth-technologies-pre-seed--81faa68a,2019-01-01,"Dung Ly, Minjie Yu"
Private Equity Round - Straight Teeth Direct,https://www.crunchbase.com/funding_round/straight-teeth-direct-private-equity--63ed8d28,2019-01-01,Kusaba Capital
Non Equity Assistance - Newzling,https://www.crunchbase.com/funding_round/newzling-non-equity-assistance--54db20f7,2019-01-01,WE Hub
Grant - Playlingo,https://www.crunchbase.com/funding_round/playlingo-grant--b0ee60c9,2019-01-01,Ufi Trust
Pre Seed Round - Futura Food,https://www.crunchbase.com/funding_round/futura-food-pre-seed--fd044a79,2019-01-01,OTF Techween
Non Equity Assistance - Herd,https://www.crunchbase.com/funding_round/herd-3774-non-equity-assistance--7b98e6ba,2019-01-01,EOS VC Fund
Seed Round - Tecnofit,https://www.crunchbase.com/funding_round/tecnofit-seed--0074a1ad,2019-01-01,Honey Island Capital
Seed Round - AWAYN,https://www.crunchbase.com/funding_round/awayn-seed--5f517748,2019-01-01,P.D.R VENTURE COMPANY (P.D.R. VC)
Corporate Round - talent and assessment,https://www.crunchbase.com/funding_round/talent-and-assessment-corporate-round--f3ff2d0e,2019-01-01,MUFG Bank
Grant - MetaHeps,https://www.crunchbase.com/funding_round/metaheps-grant--1fa1f0db,2019-01-01,Innovative Medicines Initiative
Seed Round - Investr Technologies,https://www.crunchbase.com/funding_round/investr-technologies-seed--b70a9fbb,2019-01-01,Jean-Brice Abrial
Private Equity Round - Randall & Quilter Investment Holdings,https://www.crunchbase.com/funding_round/randall-quilter-investment-holdings-private-equity--1122bb70,2019-01-01,777 Partners
Private Equity Round - prodirectional,https://www.crunchbase.com/funding_round/prodirectional-private-equity--15f0e98e,2019-01-01,SCF Partners Ltd.
Seed Round - InstaAgro,https://www.crunchbase.com/funding_round/agvali-com-2-seed--dc5dee6e,2019-01-01,Rolesis Holdings
Seed Round - Blockchainova,https://www.crunchbase.com/funding_round/blockchainova-seed--7eef8970,2019-01-01,Lauren DeLuca
Pre Seed Round - Petbnb.nl,https://www.crunchbase.com/funding_round/petbnb-2-pre-seed--9cbb1054,2019-01-01,WISE BCI Investments
Seed Round - ZeroQs,https://www.crunchbase.com/funding_round/zeroqs-seed--878593cc,2019-01-01,ValueTech Seed
Grant - Bloom Biorenewables Ltd,https://www.crunchbase.com/funding_round/bloom-biorenewables-grant--aca90f63,2019-01-01,École Polytechnique Fédérale de Lausanne
Seed Round - Vertosa,https://www.crunchbase.com/funding_round/vertosa-seed--06dbf81d,2019-01-01,Umair Aziz
Seed Round - Nausdream,https://www.crunchbase.com/funding_round/nausdream-seed--3df12a73,2019-01-01,Primomiglio SGR SpA
Pre Seed Round - ZAX,https://www.crunchbase.com/funding_round/zax-pre-seed--1f3a07b7,2019-01-01,Global Founders Capital
Pre Seed Round - Drishyam.ai,https://www.crunchbase.com/funding_round/drishyam-ai-pre-seed--8d094f81,2019-01-01,Acceleprise
Pre Seed Round - Symba,https://www.crunchbase.com/funding_round/symba-pre-seed--d7230f83,2019-01-01,Acceleprise
Seed Round - Eleven Life,https://www.crunchbase.com/funding_round/eleven-life-seed--432cc8e1,2019-01-01,Christiane Soulié
Seed Round - Anno.Ai,https://www.crunchbase.com/funding_round/anno-ai-seed--1b087c3f,2019-01-01,"Gula Tech Adventures, Scout Ventures, StoneMill Ventures"
Grant - Urban Electric Networks,https://www.crunchbase.com/funding_round/urban-electric-networks-grant--3139d69a,2019-01-01,Innovate UK
Seed Round - LuggAgent,https://www.crunchbase.com/funding_round/luggagent-seed--9c6c97c9,2019-01-01,"Techstars, Techstars Dubai"
Grant - Urban Electric Networks,https://www.crunchbase.com/funding_round/urban-electric-networks-grant--d6e0e4bd,2019-01-01,Innovate UK
Pre Seed Round - Gaviti,https://www.crunchbase.com/funding_round/gaviti-pre-seed--f371377f,2019-01-01,Spinach Angels
Pre Seed Round - afi.to,https://www.crunchbase.com/funding_round/afi-to-pre-seed--3f9dd017,2019-01-01,Noorfund
Private Equity Round - Century Seeds,https://www.crunchbase.com/funding_round/century-seeds-private-equity--7f6986f7,2019-01-01,MAPE Advisory Group
Seed Round - AudioScenic,https://www.crunchbase.com/funding_round/audioscenic-seed--e9e92111,2019-01-01,IP Group Plc
Funding Round - Journey Ventures,https://www.crunchbase.com/funding_round/journey-ventures-9e28-undisclosed--a46c82b1,2019-01-01,Spring Ventures
Pre Seed Round - Cannabotech,https://www.crunchbase.com/funding_round/cannabotech-pre-seed--c3c305a7,2019-01-01,
Pre Seed Round - Youtiligent,https://www.crunchbase.com/funding_round/youtiligent-smart-solutions-2014-pre-seed--02b669e8,2019-01-01,Cornerstone Venture Partners
Seed Round - Tiney,https://www.crunchbase.com/funding_round/tiney-seed--ed2086bf,2019-01-01,LocalGlobe
"Venture Round - Precily, Inc.",https://www.crunchbase.com/funding_round/precily-private-limited-series-unknown--5bf70138,2019-01-01,"International Centre for Entrepreneurship and Technology, Windrose Capital"
Pre Seed Round - SLYMETRIX,https://www.crunchbase.com/funding_round/slymetrix-pre-seed--ecd98c41,2019-01-01,Brokerad
Venture Round - Dailyhunt,https://www.crunchbase.com/funding_round/newshunt-series-unknown--092566d5,2019-01-01,"Epiq Capital, InnoVen Capital"
Seed Round - UnoTag,https://www.crunchbase.com/funding_round/unotag-seed--ae752fb9,2019-01-01,"Derbi Foundation, JITO Angel Network"
Debt Financing - Predictive Health Partners,https://www.crunchbase.com/funding_round/predictive-health-partners-debt-financing--04f23cbd,2019-01-01,Iowa Dept of Economic Development
Venture Round - YoRide,https://www.crunchbase.com/funding_round/ryder-2-series-unknown--d4b0a7ed,2019-01-01,"Auto Nebula Capital Advisers Private Limited, GenNext Ventures"
Seed Round - Sportamix,https://www.crunchbase.com/funding_round/sportamix-7d38-seed--709c1c03,2019-01-01,"Anthony Frolov, Charity Trust, Vladislav Lukonin"
Venture Round - Scholr,https://www.crunchbase.com/funding_round/scholr-series-unknown--d4671f75,2019-01-01,"50K Ventures, Xseed Partners"
Private Equity Round - Capital Trust,https://www.crunchbase.com/funding_round/capital-trust-bc56-private-equity--b168adf8,2019-01-01,Lighthouse Funds
Venture Round - RANK Software,https://www.crunchbase.com/funding_round/rank-series-unknown--55075148,2019-01-01,SenseAI Ventures
Venture Round - K-12 Techno Services,https://www.crunchbase.com/funding_round/k-12-techno-services-series-unknown--fd73659e,2019-01-01,"Aspada, InnoVen Capital"
Corporate Round - MY DATA INTELLIGENCE,https://www.crunchbase.com/funding_round/my-data-intelligence-corporate-round--a1e0d918,2019-01-01,International Services Information Dentsu
Venture Round - Portea Medical,https://www.crunchbase.com/funding_round/portea-medical-series-unknown--e48c077e,2019-01-01,"Growth Story, InnoVen Capital"
Venture Round - Selectjobs,https://www.crunchbase.com/funding_round/selectjobs-series-unknown--327e11c7,2019-01-01,CBA Capital
Venture Round - SchoolMitra,https://www.crunchbase.com/funding_round/schoolmitra-series-unknown--bbf6dc2b,2019-01-01,CBA Capital
Venture Round - Report Bee,https://www.crunchbase.com/funding_round/report-bee-series-unknown--3416ccaf,2019-01-01,CBA Capital
Venture Round - Chippersage Education,https://www.crunchbase.com/funding_round/chippersage-education-series-unknown--4c29d784,2019-01-01,CBA Capital
Series A - Wabi,https://www.crunchbase.com/funding_round/wabi-2c5b-series-a--1b7d923d,2019-01-01,The Coca-Cola Company
Venture Round - Enamor,https://www.crunchbase.com/funding_round/enamor-series-unknown--a684a8de,2019-01-01,India Alternatives Private Equity Fund
Private Equity Round - Treo Engineering,https://www.crunchbase.com/funding_round/treo-engineering-private-equity--0856e131,2019-01-01,IndiaNivesh Fund
